Me: 	What's wrong with you!?
Emily:	I was thinking - *shyly* - would you like to take a stroll with me around the camp?
Me: 	(Maybe I could go with her and try to get answers about what happened this morning?)
Me: 	(But, the idea of just chilling in the house does sound tempting... I could even check on Kiara?)
    Me: 	(But, the idea of just chilling in the house does sound tempting... I could even check on Kiara?)
        Me: 	I would love to join you, Emily...
        Narr:	Emily looks so happy. You could have worded it differently, you know?
        Me: 	But I didn't sleep well, and this morning was more than tiresome.
        Me: 	So I'm gonna go and chill for a bit before we're summoned back by Eve.
            Emily:	You promised you'd spend more time with me!
            Emily:	And so far, it really feels like you're avoiding me.
            Emily:	So, I'm sorry if you find my company tiresome!
            Emily:	Didn't we have a good time at the campground?
            Emily:	Why go and be bored in the house when you can spend more time with me?
            Me: 	...
            Emily:	Ugh, fine! Forget about it, I can see you've made up your mind...
                Emily:	Don't forget I could make you go with me. But, I'd rather save that favor for later.
                Emily:	Keep that in mind, Dennis.
                Emily:	You're lucky you won that bet. Else, I could make you go with me...
        Me: 	Em...
        Narr:	And just like that, she's gone. Don't forget, you're the one who wants some peace and quiet. You crave it. You need it.
        Me: 	(With Emily gone, I'll have some quiet time at the house.)
        Me: 	(The couch looks so inviting, I could take a nap right now.)
        Narr:	You hear laughter coming from the Community Center, which instantly diverts your attention from the couch.
        Me: 	What's happening there?
        Me: 	(Hmm, I could go and take a peek at what Eve's got planned for the girls.)
        Narr:	You remember Kiara's probably somewhere in the house, maybe even in her room.
        Me: 	(Or maybe I could go and check on Kiara.)
            Me: 	(Or maybe I could go and check on Kiara.)
                Me: 	(Checking up on Eve and the girls could prove interesting, as always!)
                Narr:	You make your way to the Community Center.
                Narr:	But upon trying the main entrance, you find the door locked—the lock clicking in protest at your intrusion.
                Narr:	You hear Eve's voice coming from inside.
                Eve:	Not now!
                Me: 	(Must be important if Eve wanted privacy...)
                Me: 	(Still, what could be so important that Eve wouldn't want anyone but her and the girls participating?)
                Narr:	Your heart already races at the prospect as you get into a crouch, moving silently around the Community center.
                Narr:	It seems you will never change your ways.
                Narr:	You see Eve and the girls sitting in a circle, but you are unable to make out what they are saying.
                Me: 	(Damn, I can't hear a single thing they're saying...)
                Narr:	You linger for a moment longer, trying to read Eve's lips.
                Eve:	The psyoloial effe aer aches o erve orn ae imly agical.
                Me: 	(That doesn't make any sense...)
                Narr:	Upon further inspection, you notice that the subject at hand is something Eve is truly passionate about, the look in her eyes is that of pure excitement.
                Me: 	(She seems deeply invested in what she's talking about.)
                Me: 	(It's nice to see Eve so... excited. I wonder what else could make her have that eager look in her eyes.)
                Narr:	You jolt after that thought, as if the dirty things appearing in your mind are something you shouldn't be thinking about.
                Me: 	(It's nice to fantasize, but Eve is my boss!)
                Narr:	As much as you would like to linger on Eve, your attention shifts to the patients.
                Narr:	Your gaze falls on the distressed Stacy; the bags beneath her eyes indicating her lack of good sleep.
                    Me: 	(Stacy... She looks troubled. It makes me so angry that, just as we were making some progress, she was set back many steps.)
                    Me: 	(If only I had the chance to talk more about her dreams with her. Maybe then I would be able to help her...)
                    Narr:	Finding no use in dwelling on the matter further, your eyes shift to Belle who is keeping her hand in Stacy's lap, the tips of her fingers barely grazing the hem of Stacy's skirt.
                    Me: 	(So nice of Belle to comfort Stacy in her times of trouble. It's funny... my first impression wasn't that she's so caring.)
                    Me: 	(Well, unless sex was involved, of course.)
                    Me: 	(Stacy... She looks troubled. It makes me so angry that, just as we were making some progress, she was set back many steps.)
                    Me: 	(Maybe I should've done a checkup on her and Belle earlier.)
                    Me: 	(Argh, but I get so easily distracted!)
                    Narr:	Finding no use in dwelling on the matter further, your eyes shift to Belle who is keeping her hand in Stacy's lap, the tips of her fingers barely grazing the hem of Stacy's skirt.
                    Me: 	(With Belle, it's hard to tell if any real progress is being made, considering she always has one thing and one thing only on her mind.)
                    Narr:	Slowly, but surely, your eyes make their way to Violet, who is politely feigning attentiveness.
                    Me: 	(Violet's looking more confident by the day. I love seeing her like this, almost as much as I love seeing her naked.)
                    Narr:	Your mind drifts back to the scene of you and Violet in the showers earlier, but you quickly manage to get ahold of yourself.
                    Narr:	Slowly, but surely, your eyes make their way to Violet, who is politely feigning attentiveness.
                    Me: 	(It's a shame that a beauty, such as Violet, is having so much trouble coming into her own. Maybe I should've been more... attentive with her?)
                    Me: 	(Regardless, she is doing much better than she was when she first came here.)
                Narr:	And, finally, you move to look at the final girl of the infamous quartet.
                    Narr:	Your gaze lingers on Naomi, who, while appearing to be listening to Eve at first glance, seems to be bored out of her mind.
                    Me: 	(I guess Naomi is having problems coping without her phone. I imagine it's like a limb has been taken from her.)
                    Me: 	(Maybe I could help her with that by giving her a limb of my own–)
                    Narr:	You shake your head, as if to snap yourself out of an incoming fantasy.
                    Me: 	(Better luck next time, I guess.)
                    Narr:	Slowly, as silent as a mouse, you begin to sneak back the way you came.
                    Me: 	(I should check what Kiara's up to.)
                    Narr:	Once you're out of sight and without a worry of being caught, you casually walk back to the house and enter through the front door.
                    Narr:	Your gaze lingers on Naomi, who you notice is hiding her phone behind her crossed legs.
                    Me: 	(Woah, is she really using her phone right now?!)
                    Me: 	(Eve could catch her at any moment... and that would get both me and Naomi in trouble...)
                        Me: 	(Eve could catch her at any moment... and that would get both me and Naomi in trouble...)
                            Narr:	Your fingers begin tapping against the glass screen erratically, as you send an urgent message to Naomi.
                            Me: 	"r you crazy?!! Do you have to be on your phone right now?!!"
                            Narr:	For a moment, you wonder if this will be counterproductive.
                                Narr:	Clearly, your message doesn't discourage Naomi from being on her phone.
                                Naomi:	"I see u just can't get enough, my knight."
                                Me: 	(As expected, she is not taking this seriously enough.)
                                Me: 	"If Eve catches you, she'll know I've let you keep your phone!"
                                Naomi:	"Can't u tell she's more preoccupied with listening to the sound of her own voice?"
